stName,Abbrev,pop2016,obesity_n,stObesityPer,diab_n,stDiabPer,statePop2010,housingUnits2010,medFamIncome,mcd_per_cap,st_low_inc_pop_per,st_snap_households_per,mcCount
North Dakota,ND,757952.0,167136.0,31.112448946869,45267.0,8.43625885734055,672591.0,281192.0,14656652.0,3.16642742548341e-05,24.6849404711644,8.2850863466955,24.0
Ohio,OH,11614373.0,2700333.0,31.3832310088966,1007174.0,11.7130253497532,11536504.0,4603435.0,175942449.0,5.45014354197166e-05,33.2330811142366,14.8460225896532,633.0
Oklahoma,OK,3923561.0,916887.0,32.7288540143237,326404.0,11.6626548555553,3751351.0,1460450.0,59933190.0,5.35228074700508e-05,36.5598240985676,13.8940737443939,210.0
Oregon,OR,4093465.0,785861.0,26.4231885367382,271886.0,9.12339112626163,3831074.0,1518938.0,53220620.0,4.10410251461781e-05,34.5643116528418,19.1057172840498,168.0
Pennsylvania,PA,12784227.0,2844376.0,29.335152878863,1028685.0,10.60220810079,12702379.0,5018904.0,218519518.0,4.12226722820238e-05,29.7348130630033,12.3389688266602,527.0
Rhode Island,RI,1056426.0,217920.0,27.1225263442625,77329.0,9.64049576564357,1052567.0,413600.0,17860013.0,3.12373985494488e-05,29.3523635351648,15.4371373307544,33.0
South Carolina,SC,4961119.0,1133507.0,31.8367967044268,441540.0,12.4006503302532,4625364.0,1801181.0,60790000.0,4.57558063009575e-05,36.9440442771076,15.1393446855147,227.0
South Dakota,SD,865454.0,179126.0,29.6219153339803,52953.0,8.76375871824792,800594.0,319138.0,13838900.0,3.46638873932063e-05,29.782518770495,10.9353947195257,30.0
Tennessee,TN,6651194.0,1540495.0,31.8416385144031,607167.0,12.5480112338415,6346105.0,2493552.0,83556932.0,5.00661986404246e-05,37.2205952795844,17.2934031453926,333.0
Texas,TX,27862596.0,5244904.0,28.0361069964851,1734167.0,9.26913543913107,25145561.0,8922933.0,334910884.0,4.31043826641279e-05,35.43042076912,13.6592194517206,1201.0
Utah,UT,3051217.0,486858.0,25.372873039258,137098.0,7.13745989574784,2763885.0,877692.0,40590024.0,3.80176172327304e-05,30.1009072773257,9.23501638387954,116.0
Vermont,VT,624594.0,116705.0,24.2250327768912,37385.0,7.77217046451382,625741.0,256442.0,12450101.0,4.48291209969997e-05,28.5545490350532,13.9528626356057,28.0
Virginia,VA,8411808.0,1680393.0,27.2154098716169,587180.0,9.50591816211711,7994802.0,3053431.0,156951063.0,4.9929812948655e-05,25.433604761307,9.48261152781903,420.0
Washington,WA,7288000.0,1413884.0,27.1510485039015,454383.0,8.71358616002851,6724540.0,2620076.0,108386015.0,3.74588364434687e-05,28.1590148188803,14.3685526679379,273.0
West Virginia,WV,1831102.0,492822.0,34.5739941603469,191524.0,13.4379376491286,1852994.0,763831.0,25218997.0,5.57041606639062e-05,39.090340133974,15.3833766893462,102.0
Wisconsin,WI,5778708.0,1299673.0,30.3966551221035,384823.0,8.99610922611882,5686986.0,2279768.0,91239271.0,5.20877677155517e-05,29.7170924711891,12.7399366953129,301.0
Wyoming,WY,585501.0,119165.0,27.7193636668693,37573.0,8.74875041157154,563626.0,226879.0,9285167.0,4.61143533486706e-05,27.466733617876,6.18655759237303,27.0
