POP2010,OHU2010,MedianFamilyIncome,lapop20,lalowi20,lasnap20,TractLOWI,TractSNAP,lapop20_share,lalowi20_share,lasnap20_share
3302,1263,139024,1602.6553091,458.996354,43.61184265,950,79,48.535896701998794,13.900555844942458,55.204864113924046
11531,4257,198806,2.332811108,0.321767046,0.003776467,3833,215,0.02023077883964964,0.00279045222443847,0.0017564962790697675
19301,9008,384401,0.785746831,0.21361716,0.019718361,7137,777,0.0040710161701466244,0.0011067673177555567,0.0025377555984555985
82,39,68438,72.75773151,36.80685263,6.159793822999999,43,6,88.72894086585366,44.886405646341466,102.66323038333331
278831,105781,3994206,0.0,0.0,0.0,115101,14301,0.0,0.0,0.0
5915,2246,137703,0.0,0.0,0.0,2596,342,0.0,0.0,0.0
13664,4187,205187,0.0,0.0,0.0,4529,723,0.0,0.0,0.0
10546,4595,195063,0.0,0.0,0.0,4685,775,0.0,0.0,0.0
4799,1649,137947,233.2394798,73.44494562,1.074848695,2067,75,4.860168364242551,1.530421871639925,1.4331315933333333
4012,1754,117390,0.0,0.0,0.0,1021,150,0.0,0.0,0.0
36702,13894,528431,5.63743844,1.758467031,0.24189345199999998,16817,2489,0.01536003062503406,0.0047912021987902564,0.009718499477701889
54258,15563,316902,34.25606499,21.094290459,4.527452311999999,34771,5536,0.0631355099524494,0.03887775159239191,0.08178201430635837
8283,3338,160056,175.8198404,46.95928541,5.202558675,3889,508,2.1226589448267537,0.5669357166485572,1.0241257234251968
234906,86892,2515707,0.0,0.0,0.0,102868,12485,0.0,0.0,0.0
707,310,56136,456.93153650000005,174.7091171,18.54261454,247,24,64.62963741159831,24.71133198019802,77.26089391666666
46006,15530,486118,20.98397172,9.073838299,1.245232008,14576,2349,0.04561138051558492,0.019723162846150503,0.053011154022988505
2242,994,43958,17.19239484,5.861043682000001,1.6565518030000002,993,188,0.7668329545049063,0.2614203247992864,0.8811445760638298
136872,50845,2041453,58.568229360000004,12.205301024,1.1987669209999998,39956,4369,0.04279051183587586,0.008917310351277106,0.02743801604486152
24757,9408,349468,0.0,0.0,0.0,10378,1929,0.0,0.0,0.0
4936,1975,114859,0.0,0.0,0.0,1758,114,0.0,0.0,0.0
9403,2809,111633,13.01555953,3.5807957339999996,0.800252045,2276,323,0.13841922290758268,0.03808141799425715,0.24775605108359133
19719,7989,341225,0.0,0.0,0.0,7622,769,0.0,0.0,0.0
455746,162530,4914503,0.0,0.0,0.0,135770,12637,0.0,0.0,0.0
21904,7197,209602,1.292398991,0.518016765,0.02312714,9463,882,0.005900287577611395,0.00236494140339664,0.002622124716553288
12934,5226,137509,0.0,0.0,0.0,5310,1033,0.0,0.0,0.0
1210,542,43250,47.18063169,24.40111226,2.329003391,604,56,3.8992257595041324,2.0166208479338845,4.158934626785714
64524,23861,620857,0.0,0.0,0.0,28500,3546,0.0,0.0,0.0
47735,17380,469372,0.0,0.0,0.0,22367,3417,0.0,0.0,0.0
14445,5476,194495,0.58865539,0.214718199,0.022453103999999998,6194,668,0.004075149809622707,0.001486453437175493,0.003361243113772455
15216,5999,242219,383.01939510000005,114.84752069999999,11.30320129,6804,915,2.5172147417192434,0.7547812874605678,1.2353225453551913
340223,124587,4666110,0.0,0.0,0.0,136817,22616,0.0,0.0,0.0
10223,3617,208162,8.845803746,2.317174388,0.12621806300000002,4027,384,0.08652845295901399,0.02266628570869608,0.032869287239583336
2052,691,69196,1831.0587489999998,633.9670681,27.35046256,578,29,89.23288250487329,30.895081291423004,94.31193986206897
81837,31031,1242802,0.0,0.0,0.0,29086,5188,0.0,0.0,0.0
